R_DEF,LOC,MUN,EST,EST_D,AGEB,T_LOC,CD_A,ENT,CON,UPM,D_SEM,N_PRO_VIV,V_SEL,N_HOG,H_MUD,N_ENT,PER,N_REN,C_RES,PAR_C,SEX,EDA,NAC_DIA,NAC_MES,NAC_ANIO,L_NAC_C,CS_P12,CS_P13_1,CS_P13_2,CS_P14_C,CS_P15,CS_P16,CS_P17,N_HIJ,E_CON,CS_AD_MOT,CS_P20_DES,CS_AD_DES,CS_NR_MOT,CS_P22_DES,CS_NR_ORI,UR,ZONA,SALARIO,FAC,CLASE1,CLASE2,CLASE3,POS_OCU,SEG_SOC,RAMA,C_OCU11C,ING7C,DUR9C,EMPLE7C,MEDICA5C,BUSCAR5C,RAMA_EST1,RAMA_EST2,DUR_EST,AMBITO1,AMBITO2,TUE1,TUE2,TUE3,BUSQUEDA,D_ANT_LAB,D_CEXP_EST,DUR_DES,SUB_O,S_CLASIFI,REMUNE2C,PRE_ASA,TIP_CON,DISPO,NODISPO,C_INAC5C,PNEA_EST,NIV_INS,EDA5C,EDA7C,EDA12C,EDA19C,HIJ5C,DOMESTICO,ANIOS_ESC,HRSOCUP,INGOCUP,ING_X_HRS,TPG_P8A,TCCO,CP_ANOC,IMSSISSSTE,MA48ME1SM,P14APOYOS,SCIAN,T_TRA,EMP_PPAL,TUE_PPAL,TRANS_PPAL,MH_FIL2,MH_COL,SEC_INS
00,0001,002,10,103,00000,1,01,09,40001,0900471,101,0015,01,1,0,1,215,01,1,101,1,46,31,03,1969,015,1,02,2,,,,2,,5,,,,,,,1,1,2103,426,1,1,1,1,1,2,5,2,3,6,3,4,2,3,3,2,5,1,1,0,2,0,0,0,0,0,1,1,3,0,0,0,0,1,3,4,7,12,0,3,2,24,4000,38.75969,0,0,0,1,0,0,5,1,2,2,0,3,2,2
00,0001,002,10,103,00000,1,01,09,40001,0900471,101,0015,01,1,0,1,215,02,1,201,2,47,28,08,1967,015,1,02,6,,,,2,02,5,,,,,,,1,1,2103,426,1,1,1,1,2,4,8,1,3,1,1,4,3,10,3,2,8,3,6,0,2,0,0,0,0,0,1,2,5,0,0,0,0,2,3,4,7,12,2,3,6,24,1935,18.75,0,0,0,4,0,0,19,1,1,2,0,2,1,9
00,0001,002,10,103,00000,1,01,09,40001,0900471,101,0015,01,1,0,1,215,03,1,301,1,22,17,10,1992,015,1,07,1,5517,3,2,1,,6,,,,,,,1,1,2103,426,1,1,1,1,1,3,6,2,3,2,3,4,3,5,3,2,3,1,2,0,2,0,0,0,0,0,1,1,3,0,0,0,0,4,1,2,2,7,0,2,13,20,0,0,0,0,0,1,0,0,7,1,2,2,0,3,2,4
00,0001,002,10,103,00000,1,01,09,40001,0900471,101,0015,01,1,0,1,215,04,1,301,2,17,12,04,1997,015,1,04,2,,,,1,00,6,,,,,,,1,1,2103,426,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,1,1,1,6,1,2,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
00,0001,002,10,103,00000,1,01,09,40001,0900471,101,0038,02,1,0,1,215,01,1,101,1,35,31,12,1979,009,1,04,3,,,,2,,5,,,,,,,1,1,2103,426,1,1,1,3,2,3,6,4,8,1,1,4,3,5,5,2,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,5,10,0,3,12,70,8000,26.57807,0,0,1,4,0,0,7,1,2,2,0,3,8,4
00,0001,002,10,103,00000,1,01,09,40001,0900471,101,0038,02,1,0,1,215,02,1,201,2,31,06,04,1984,009,1,04,3,,,,2,02,5,,,,,,,1,1,2103,426,1,1,1,1,1,4,4,4,3,6,3,4,3,9,3,2,5,2,4,1,2,0,0,0,0,0,1,1,3,0,0,0,0,4,2,3,4,9,2,3,12,24,0,0,0,0,0,2,0,0,16,1,2,2,0,3,2,7
00,0001,002,10,103,00000,1,01,09,40001,0900471,101,0038,02,1,0,1,215,03,1,301,1,10,07,01,2005,009,1,02,4,,,,1,,,,,,,,,1,1,2103,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00,0001,002,10,103,00000,1,01,09,40001,0900471,101,0038,02,1,0,1,215,04,1,301,1,08,30,09,2006,009,1,02,2,,,,1,,,,,,,,,1,1,2103,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00,0001,002,10,103,00000,1,01,09,40001,0900471,101,0095,04,1,0,1,215,01,1,101,1,32,28,01,1983,009,1,04,2,,,,2,,1,,,,,,,1,1,2103,426,1,1,1,1,1,4,1,4,3,6,3,4,3,8,3,2,5,1,1,0,2,0,0,0,0,0,1,1,5,0,0,0,0,3,2,3,4,9,0,3,11,24,0,0,0,0,0,1,0,0,12,1,2,2,0,3,2,2
00,0001,002,10,103,00000,1,01,09,40001,0900471,101,0095,04,1,0,1,215,02,1,201,2,31,29,11,1983,009,1,07,4,5111,3,1,2,00,1,,,,,,,1,1,2103,426,1,1,3,1,1,4,2,5,1,6,3,4,3,9,1,2,5,2,4,1,2,0,0,0,0,0,1,1,3,0,0,0,0,4,2,3,4,9,1,3,16,0,0,0,0,0,0,2,0,0,15,1,2,2,0,3,2,7
00,0001,002,10,103,00000,1,01,09,40001,0900471,101,0119,05,1,0,1,215,01,1,101,1,41,18,11,1973,009,1,02,6,,,,2,,1,,,,,,,1,1,2103,426,1,1,1,1,2,4,5,4,8,2,1,4,3,6,5,2,2,3,5,0,2,0,0,0,0,0,1,2,5,0,0,0,0,2,2,4,6,11,0,3,6,60,6450,25,0,0,0,4,0,0,18,1,1,1,0,1,1,8
00,0001,002,10,103,00000,1,01,09,40001,0900471,101,0119,05,1,0,1,215,02,1,201,2,39,22,06,1975,009,1,04,3,,,,2,04,1,,,,,,,1,1,2103,426,1,1,1,3,2,3,6,1,2,1,1,1,3,5,2,2,2,3,5,0,1,0,0,0,1,5,0,0,0,0,0,0,0,4,2,3,5,10,3,3,12,9,1500,38.75969,1,0,1,4,0,0,7,1,1,1,0,1,7,8
